Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
AAPL,2015-12-04,117.99,119.41,114.22,119.03,26.837,206765745,0.0,
AAPL,2015-12-11,118.98,119.86,112.851,113.18,25.518,188853944,0.0,-5.849999999999994
AAPL,2015-12-18,112.18,112.8,105.81,106.03,23.906,315791335,0.0,-7.150000000000006
AAPL,2015-12-24,107.28,109.0,105.57,108.03,24.3569,126634011,0.0,2.0
AAPL,2015-12-31,107.59,109.43,104.82,105.26,23.7324,123761546,0.0,-2.769999999999996
AAPL,2016-01-08,102.61,105.85,96.43,96.96,21.861,343790211,0.0,-8.300000000000011
AAPL,2016-01-15,98.97,101.19,95.36,97.13,21.8993,304337253,0.0,0.1700000000000017
AAPL,2016-01-22,98.41,101.46,93.42,101.42,22.8666,243384093,0.0,4.290000000000006
AAPL,2016-01-29,101.52,101.53,92.39,97.34,21.9467,380336530,0.0,-4.079999999999998
AAPL,2016-02-05,96.47,97.33,93.69,94.02,21.3122,217154766,0.52,-3.3200000000000074
AAPL,2016-02-12,93.13,96.35,92.59,93.99,21.3054,231122263,0.0,-0.0300000000000011
AAPL,2016-02-19,95.02,98.89,94.61,96.04,21.7701,168316315,0.0,2.050000000000012
AAPL,2016-02-26,96.31,98.0237,93.32,96.91,21.9673,159052926,0.0,0.8699999999999903
AAPL,2016-03-04,96.86,103.75,96.65,103.01,23.3501,201803826,0.0,6.1000000000000085
AAPL,2016-03-11,102.39,102.83,100.15,102.26,23.1801,155221501,0.0,-0.75
AAPL,2016-03-18,101.91,106.5,101.78,105.92,24.0097,182073165,0.0,3.6599999999999966
AAPL,2016-03-24,105.93,107.65,104.89,105.67,23.953,119783503,0.0,-0.25
AAPL,2016-04-01,106.0,110.42,104.88,109.99,24.9323,147965003,0.0,4.319999999999993
AAPL,2016-04-08,110.42,112.19,108.121,108.66,24.6308,145722543,0.0,-1.3299999999999983
AAPL,2016-04-15,108.97,112.39,108.66,109.85,24.9006,162310051,0.0,1.1899999999999975
AAPL,2016-04-22,108.89,108.95,104.62,105.68,23.9553,189053016,0.0,-4.169999999999988
AAPL,2016-04-29,105.0,105.65,92.51,93.74,21.2488,349424063,0.0,-11.940000000000012
AAPL,2016-05-06,93.965,95.9,91.85,92.72,21.1461,225607242,0.57,-1.019999999999996
AAPL,2016-05-13,93.0,93.77,89.47,90.52,20.6443,216049836,0.0,-2.200000000000003
AAPL,2016-05-20,92.39,95.43,91.65,95.22,21.7162,212707154,0.0,4.700000000000003
AAPL,2016-05-27,95.87,100.73,95.67,100.35,22.8862,204473324,0.0,5.129999999999996
AAPL,2016-06-03,99.6,100.4,96.63,97.92,22.332,140176985,0.0,-2.4299999999999926
AAPL,2016-06-10,97.99,101.89,97.55,98.83,22.5395,124864375,0.0,0.9099999999999966
AAPL,2016-06-17,98.69,99.12,95.3,95.33,21.7413,191732699,0.0,-3.5
AAPL,2016-06-24,96.0,96.89,92.65,93.4,21.3011,206728924,0.0,-1.9299999999999928
AAPL,2016-07-01,93.0,96.465,91.5,95.89,21.869,185461004,0.0,2.489999999999995
AAPL,2016-07-08,95.39,96.89,94.37,96.68,22.0492,112705961,0.0,0.7900000000000063
AAPL,2016-07-15,96.75,99.3,96.73,98.78,22.5281,142910566,0.0,2.0999999999999943
AAPL,2016-07-22,98.7,101.0,98.31,98.66,22.5008,147565456,0.0,-0.1200000000000045
