Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
AAPL,2020-12-04,116.97,123.78,116.81,122.25,119.0171,541563385,0.0,
AAPL,2020-12-11,122.31,125.95,120.15,122.41,119.1728,452278651,0.0,0.1599999999999966
AAPL,2020-12-18,122.6,129.58,121.54,126.655,123.3056,621758148,0.0,4.2450000000000045
AAPL,2020-12-24,125.02,134.405,123.449,131.97,128.48,433757134,0.0,5.314999999999998
AAPL,2020-12-31,133.99,138.789,131.72,132.69,129.181,439740666,0.0,0.7199999999999989
AAPL,2021-01-08,133.52,133.6116,126.382,132.05,128.5579,610791157,0.0,-0.6399999999999864
AAPL,2021-01-15,129.19,131.45,126.86,127.14,123.7777,481518252,0.0,-4.910000000000011
AAPL,2021-01-22,127.78,139.85,126.938,139.07,135.3923,430065722,0.0,11.929999999999993
AAPL,2021-01-29,143.07,145.09,130.21,131.96,128.4703,716990967,0.0,-7.109999999999985
AAPL,2021-02-05,133.75,137.42,130.93,136.76,133.3429,438264070,0.205,4.799999999999983
AAPL,2021-02-12,136.03,137.877,133.6921,135.37,131.9876,344357350,0.0,-1.3899999999999864
AAPL,2021-02-19,135.49,136.01,127.41,129.87,126.6251,362474097,0.0,-5.5
AAPL,2021-02-26,128.01,129.72,118.39,121.26,118.2302,680391444,0.0,-8.61
AAPL,2021-03-05,123.75,128.72,117.57,121.42,118.3862,663456753,0.0,0.1599999999999966
AAPL,2021-03-12,120.93,123.21,116.21,121.03,118.0059,586977280,0.0,-0.39000000000000057
AAPL,2021-03-19,121.41,127.22,119.675,119.99,116.9919,626770404,0.0,-1.0400000000000063
AAPL,2021-03-26,120.33,124.24,118.92,121.21,118.1815,488825826,0.0,1.2199999999999989
AAPL,2021-04-01,121.65,124.18,118.86,123.0,119.9267,359904082,0.0,1.7900000000000063
AAPL,2021-04-09,123.87,133.04,123.07,132.995,129.672,447820438,0.0,9.995000000000005
AAPL,2021-04-16,132.52,135.0,130.63,134.16,130.8079,444178798,0.0,1.164999999999992
AAPL,2021-04-23,133.51,135.53,131.3001,134.32,130.9639,421246935,0.0,0.1599999999999966
AAPL,2021-04-30,134.83,137.07,131.065,131.46,128.1753,501621389,0.0,-2.859999999999985
AAPL,2021-05-07,132.04,134.07,126.7,130.21,127.1711,453802325,0.22,-1.25
AAPL,2021-05-14,129.41,129.54,122.25,127.45,124.4755,514165627,0.0,-2.760000000000005
AAPL,2021-05-21,126.82,128.0,122.86,125.43,122.5026,386352101,0.0,-2.019999999999996
AAPL,2021-05-28,126.01,128.32,124.55,124.61,121.7018,357615057,0.0,-0.8200000000000074
AAPL,2021-06-04,125.08,126.16,123.13,125.89,122.9519,278314493,0.0,1.2800000000000011
AAPL,2021-06-11,126.17,128.46,124.8321,127.35,124.3778,327048055,0.0,1.4599999999999937
AAPL,2021-06-18,127.82,132.55,127.07,130.46,127.4152,456667151,0.0,3.1100000000000136
AAPL,2021-06-25,130.3,134.64,129.21,133.11,130.0034,354155878,0.0,2.6500000000000057
AAPL,2021-07-02,133.41,140.0,133.35,139.96,136.6935,321360130,0.0,6.849999999999994
AAPL,2021-07-09,140.07,145.65,140.07,145.11,141.7233,418559640,0.0,5.150000000000006
AAPL,2021-07-16,146.21,150.0,143.63,146.39,142.9735,504249326,0.0,1.2799999999999727
AAPL,2021-07-23,143.75,148.7177,141.67,148.56,145.0928,441563639,0.0,2.170000000000016
AAPL,2021-07-30,148.27,149.83,142.54,145.86,142.4558,420947531,0.0,-2.6999999999999886
AAPL,2021-08-06,146.36,148.045,145.18,146.14,142.9442,284559337,0.22,0.2799999999999727
AAPL,2021-08-13,146.2,149.4444,145.3,149.1,145.8394,299050639,0.0,2.960000000000008
AAPL,2021-08-20,148.535,151.68,144.5,148.19,144.9493,429624447,0.0,-0.9099999999999966
AAPL,2021-08-27,148.31,150.86,146.83,148.6,145.3504,272129118,0.0,0.4099999999999966
AAPL,2021-09-03,149.0,154.98,148.61,154.3,150.9257,386760934,0.0,5.700000000000017
AAPL,2021-09-10,154.97,157.26,148.7,148.97,145.7123,354897433,0.0,-5.3300000000000125
AAPL,2021-09-17,150.63,151.42,145.76,146.06,142.8659,492884912,0.0,-2.9099999999999966
AAPL,2021-09-24,143.8,147.4701,141.27,146.92,143.7071,394033205,0.0,0.8599999999999852
AAPL,2021-10-01,145.47,145.96,139.1101,142.65,139.5305,441421358,0.0,-4.269999999999982
AAPL,2021-10-08,141.76,144.215,138.27,142.9,139.775,382910000,0.0,0.25
AAPL,2021-10-15,142.27,144.895,139.2,144.84,141.6726,354098233,0.0,1.9399999999999977
AAPL,2021-10-22,143.445,150.18,143.16,148.69,145.4384,340691290,0.0,3.8499999999999943
AAPL,2021-10-29,148.68,153.165,146.4128,149.8,146.5241,392739936,0.0,1.1100000000000136
AAPL,2021-11-05,148.985,152.43,147.8,151.28,148.1869,322688958,0.22,1.4799999999999898
AAPL,2021-11-12,151.41,151.57,147.48,149.99,146.9233,281026556,0.0,-1.289999999999992
AAPL,2021-11-19,150.37,161.02,149.34,160.55,157.2674,462419283,0.0,10.560000000000002
AAPL,2021-11-26,161.68,165.7,156.36,156.81,153.6039,359933163,0.0,-3.740000000000009
AAPL,2021-12-03,159.37,170.3,157.8,161.84,158.531,669981566,0.0,5.030000000000001
AAPL,2021-12-10,164.29,179.63,164.28,179.45,175.781,569227705,0.0,17.609999999999985
AAPL,2021-12-17,181.115,182.13,169.69,171.14,167.6409,769789942,0.0,-8.310000000000002
AAPL,2021-12-23,168.28,176.8499,167.46,176.28,172.6758,359176889,0.0,5.140000000000015
AAPL,2021-12-31,177.085,181.33,177.07,177.57,173.9394,337847299,0.0,1.289999999999992
AAPL,2022-01-07,177.83,182.94,171.03,172.17,168.6498,482162362,0.0,-5.400000000000006
AAPL,2022-01-14,169.08,177.18,168.17,173.07,169.5314,422454950,0.0,0.9000000000000057
AAPL,2022-01-21,171.51,172.54,162.3,162.41,159.0894,397684401,0.0,-10.659999999999997
AAPL,2022-01-28,160.02,170.35,154.7,170.33,166.8475,688670659,0.0,7.920000000000016
AAPL,2022-02-04,170.16,176.2399,169.51,172.39,169.0808,458553231,0.22,2.059999999999974
AAPL,2022-02-11,172.86,176.65,168.04,168.64,165.4028,412902045,0.0,-3.75
AAPL,2022-02-18,167.37,173.34,166.19,167.3,164.0885,364011266,0.0,-1.339999999999975
AAPL,2022-02-25,164.98,166.69,152.0,164.85,161.6856,413588646,0.0,-2.450000000000017
AAPL,2022-03-04,163.06,168.91,161.97,163.17,160.0378,418753837,0.0,-1.6800000000000068
AAPL,2022-03-11,163.36,165.02,154.5,154.73,151.7598,521334165,0.0,-8.439999999999998
