Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
AAPL,2015-12-04,117.9900,119.4100,114.2200,119.03,26.8370,206765745,0.0000,
AAPL,2015-12-11,118.9800,119.8600,112.8510,113.18,25.5180,188853944,0.0000,-5.849999999999994
AAPL,2015-12-18,112.1800,112.8000,105.8100,106.03,23.9060,315791335,0.0000,-7.150000000000006
AAPL,2015-12-24,107.2800,109.0000,105.5700,108.03,24.3569,126634011,0.0000,2.0
AAPL,2015-12-31,107.5900,109.4300,104.8200,105.26,23.7324,123761546,0.0000,-2.769999999999996
AAPL,2016-01-08,102.6100,105.8500,96.4300,96.96,21.8610,343790211,0.0000,-8.300000000000011
AAPL,2016-01-15,98.9700,101.1900,95.3600,97.13,21.8993,304337253,0.0000,0.1700000000000017
AAPL,2016-01-22,98.4100,101.4600,93.4200,101.42,22.8666,243384093,0.0000,4.290000000000006
AAPL,2016-01-29,101.5200,101.5300,92.3900,97.34,21.9467,380336530,0.0000,-4.079999999999998
AAPL,2016-02-05,96.4700,97.3300,93.6900,94.02,21.3122,217154766,0.5200,-3.3200000000000074
AAPL,2016-02-12,93.1300,96.3500,92.5900,93.99,21.3054,231122263,0.0000,-0.030000000000001137
AAPL,2016-02-19,95.0200,98.8900,94.6100,96.04,21.7701,168316315,0.0000,2.0500000000000114
AAPL,2016-02-26,96.3100,98.0237,93.3200,96.91,21.9673,159052926,0.0000,0.8699999999999903
AAPL,2016-03-04,96.8600,103.7500,96.6500,103.01,23.3501,201803826,0.0000,6.1000000000000085
AAPL,2016-03-11,102.3900,102.8300,100.1500,102.26,23.1801,155221501,0.0000,-0.75
AAPL,2016-03-18,101.9100,106.5000,101.7800,105.92,24.0097,182073165,0.0000,3.6599999999999966
AAPL,2016-03-24,105.9300,107.6500,104.8900,105.67,23.9530,119783503,0.0000,-0.25
AAPL,2016-04-01,106.0000,110.4200,104.8800,109.99,24.9323,147965003,0.0000,4.319999999999993
AAPL,2016-04-08,110.4200,112.1900,108.1210,108.66,24.6308,145722543,0.0000,-1.3299999999999983
AAPL,2016-04-15,108.9700,112.3900,108.6600,109.85,24.9006,162310051,0.0000,1.1899999999999977
AAPL,2016-04-22,108.8900,108.9500,104.6200,105.68,23.9553,189053016,0.0000,-4.1699999999999875
AAPL,2016-04-29,105.0000,105.6500,92.5100,93.74,21.2488,349424063,0.0000,-11.940000000000012
AAPL,2016-05-06,93.9650,95.9000,91.8500,92.72,21.1461,225607242,0.5700,-1.019999999999996
AAPL,2016-05-13,93.0000,93.7700,89.4700,90.52,20.6443,216049836,0.0000,-2.200000000000003
AAPL,2016-05-20,92.3900,95.4300,91.6500,95.22,21.7162,212707154,0.0000,4.700000000000003
AAPL,2016-05-27,95.8700,100.7300,95.6700,100.35,22.8862,204473324,0.0000,5.1299999999999955
AAPL,2016-06-03,99.6000,100.4000,96.6300,97.92,22.3320,140176985,0.0000,-2.4299999999999926
AAPL,2016-06-10,97.9900,101.8900,97.5500,98.83,22.5395,124864375,0.0000,0.9099999999999966
AAPL,2016-06-17,98.6900,99.1200,95.3000,95.33,21.7413,191732699,0.0000,-3.5
AAPL,2016-06-24,96.0000,96.8900,92.6500,93.4,21.3011,206728924,0.0000,-1.9299999999999926
AAPL,2016-07-01,93.0000,96.4650,91.5000,95.89,21.8690,185461004,0.0000,2.489999999999995
AAPL,2016-07-08,95.3900,96.8900,94.3700,96.68,22.0492,112705961,0.0000,0.7900000000000063
AAPL,2016-07-15,96.7500,99.3000,96.7300,98.78,22.5281,142910566,0.0000,2.0999999999999943
AAPL,2016-07-22,98.7000,101.0000,98.3100,98.66,22.5008,147565456,0.0000,-0.12000000000000455
AAPL,2016-07-29,98.2500,104.5500,96.4200,104.21,23.7665,256571090,0.0000,5.549999999999997
AAPL,2016-08-05,104.4100,107.6500,104.0000,107.48,24.6442,170149120,0.5700,3.2700000000000102
AAPL,2016-08-12,107.5200,108.9400,107.1600,108.18,24.8047,124505869,0.0000,0.7000000000000028
AAPL,2016-08-19,108.1400,110.2300,108.0800,109.36,25.0753,132371408,0.0000,1.1799999999999926
AAPL,2016-08-26,108.8600,109.3200,106.3100,106.94,24.5204,123605519,0.0000,-2.4200000000000017
AAPL,2016-09-02,106.6200,108.0000,105.5000,107.73,24.7016,133000624,0.0000,0.7900000000000063
AAPL,2016-09-09,107.9000,108.7600,103.1300,103.13,23.6468,168803729,0.0000,-4.6000000000000085
AAPL,2016-09-16,102.6500,116.1300,102.5300,114.92,26.3502,390309366,0.0000,11.790000000000006
AAPL,2016-09-23,115.1900,116.1800,111.5500,112.71,25.8434,201095635,0.0000,-2.210000000000008
AAPL,2016-09-30,111.6400,114.6400,111.5500,113.05,25.9214,156384035,0.0000,0.3400000000000034
AAPL,2016-10-07,112.7100,114.5600,112.2800,114.06,26.1530,126029440,0.0000,1.0100000000000051
AAPL,2016-10-14,115.0200,118.6900,114.7200,117.63,26.9716,208708383,0.0000,3.569999999999993
AAPL,2016-10-21,117.3300,118.2100,113.8000,116.6,26.7354,115531434,0.0000,-1.0300000000000011
AAPL,2016-10-28,117.1000,118.3600,113.3100,113.72,26.0750,210225569,0.0000,-2.8799999999999955
AAPL,2016-11-04,113.6500,114.2300,108.1100,108.84,25.0856,156346518,0.5700,-4.8799999999999955
AAPL,2016-11-11,110.0800,111.7200,105.8300,108.43,24.9911,207268979,0.0000,-0.4099999999999966
AAPL,2016-11-18,107.3200,110.5400,104.0800,110.06,25.3668,198341456,0.0000,1.6299999999999955
AAPL,2016-11-25,110.1200,112.4200,110.0100,111.79,25.7655,94132421,0.0000,1.730000000000004
AAPL,2016-12-02,111.4300,112.4650,108.8500,109.9,25.3299,155499850,0.0000,-1.8900000000000006
AAPL,2016-12-09,110.0000,114.7000,108.2500,113.95,26.2634,151989664,0.0000,4.049999999999997
AAPL,2016-12-16,113.2900,116.7300,112.4900,115.97,26.7289,195015700,0.0000,2.019999999999996
AAPL,2016-12-23,115.8000,117.5000,115.5900,116.52,26.8557,113322891,0.0000,0.5499999999999972
AAPL,2016-12-30,116.5200,118.0166,115.4300,115.82,26.6944,84828531,0.0000,-0.7000000000000028
AAPL,2017-01-06,115.8000,118.1600,114.7600,117.91,27.1761,103845468,0.0000,2.0900000000000034
AAPL,2017-01-13,117.9500,119.9300,117.9400,119.04,27.4365,138810760,0.0000,1.1300000000000097
AAPL,2017-01-20,118.3400,120.5000,118.2200,120.0,27.6578,116347987,0.0000,0.9599999999999937
AAPL,2017-01-27,120.0000,122.4400,119.5000,121.95,28.1072,124748449,0.0000,1.9500000000000028
AAPL,2017-02-03,120.9300,130.4900,120.6200,129.08,29.7505,249781248,0.0000,7.13000000000001
AAPL,2017-02-10,129.1300,132.9400,128.9000,132.12,30.5823,136449154,0.5700,3.039999999999992
AAPL,2017-02-17,133.0800,136.2700,132.7500,135.72,31.4156,136667496,0.0000,3.5999999999999943
AAPL,2017-02-24,136.2300,137.4800,135.2800,136.66,31.6332,87908859,0.0000,0.9399999999999977
AAPL,2017-03-03,137.1400,140.2786,136.2800,139.78,32.3554,127936976,0.0000,3.1200000000000045
AAPL,2017-03-10,139.3650,139.9800,137.0500,139.14,32.2072,99672282,0.0000,-0.6400000000000148
AAPL,2017-03-17,138.8500,141.0200,138.8200,139.99,32.4040,121539506,0.0000,0.8500000000000227
AAPL,2017-03-24,140.4000,142.8000,139.7300,140.64,32.5544,129673979,0.0000,0.6499999999999773
